MSN,Description,Unit
TERCB,Total energy consumed by the residential sector.,Billion Btu
TERCD,Total energy average price in the residential sector.,Dollars per million Btu
TERCV,Total energy total expenditures in the residential sector.,Million dollars
TERFB,Total energy used as refinery fuel.,Billion Btu
TETCB,Total energy consumption.,Billion Btu
TETCD,Total energy average price.,Dollars per million Btu
TETCV,Total energy expenditures.,Million dollars
TETGR,Total energy consumed per dollar of real gross domestic product.,Thousand Btu per chained (2000) dollar
TETPB,Total energy consumption per capita.,Million Btu
TETPV,Total energy expenditures per capita.,Dollars
TETXB,Total end-use energy consumption.,Billion Btu
TETXD,Total end-use energy average price.,Dollars per million Btu
TETXV,Total end-use energy expenditures.,Million dollars
TNACB,Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNCCB,Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNICB,Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNRCB,Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNSCB,Total primary energy and electricity consumed.,Billion Btu
TNTXB,Total primary energy and electricity consumed by the end-use sectors.,Billion Btu
TPOPP,Resident population including Armed Forces.,Thousand
UOICB,Unfinished oils consumed by the industrial sector.,Billion Btu
UOICP,Unfinished oils consumed by the industrial sector.,Thousand barrels
USICB,Unfractionated stream consumed by the industrial sector.,Billion Btu
USICP,Unfractionated stream consumed by the industrial sector.,Thousand barrels
WDRSB,Wood consumed in the residential sector at a cost.,Billion Btu
WDRXB,Wood consumed in the residential sector at no cost.,Billion Btu
WWCCB,Wood and waste consumed by the commercial sector.,Billion Btu
WWCCD,Wood and waste price in the commercial sector.,Dollars per million Btu
WWCCV,Wood and waste expenditures in the commercial sector.,Million dollars
WWCSB,Wood and waste consumed in the commercial sector at a cost.,Billion Btu
WWCXB,Wood and waste consumed in the commercial sector at no cost.,Billion Btu
WWEIB,Wood and waste consumed by the electric power sector.,Billion Btu
WWEID,Wood and waste price in the electric power sector.,Dollars per million Btu
WWEIV,Wood and waste expenditures in the electric power sector.,Million dollars
WWICB,Wood and waste consumed by the industrial sector.,Billion Btu
WWICD,Wood and waste price in the industrial sector.,Dollars per million Btu
WWICV,Wood and waste expenditures in the industrial sector.,Million dollars
WWISB,Wood and waste consumed in the industrial sector at a cost.,Billion Btu
WWIXB,Wood and waste consumed in the industrial sector at no cost.,Billion Btu
WWTCB,Wood and waste total consumption.,Billion Btu
WWTCD,"Wood and waste average price, all sectors.",Dollars per million Btu
WWTCV,Wood and waste total expenditures.,Million dollars
WWTXB,Wood and waste total end-use consumption.,Billion Btu
WWTXD,"Wood and waste average price, all end-use sectors.",Dollars per million Btu
WWTXV,Wood and waste total end-use expenditures.,Million dollars
WXICB,Waxes consumed by the industrial sector.,Billion Btu
WXICD,Waxes price in the industrial sector.,Dollars per million Btu
WXICP,Waxes consumed by the industrial sector.,Thousand barrels
WXICV,Waxes expenditures in the industrial sector.,Million dollars
